 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    4.5803    4.0000   38.4110   37.8856    5.6949    3.2296    3.5722   13.5490  1.7120E+01     -0.2798  3.3589E-03
    4.5850    4.0000   38.4110   37.5067    5.6958    3.2320    3.5712   13.5783  1.6673E+01     -0.2798  2.9653E-03
    4.5895    4.0000   38.4110   37.1317    5.6967    3.2344    3.5703   13.6072  1.6233E+01     -0.2798  2.6133E-03
    4.5940    4.0000   38.4110   36.7603    5.6976    3.2368    3.5693   13.6356  1.5800E+01     -0.2798  2.2991E-03
    4.5985    4.0000   38.4110   36.3927    5.6985    3.2391    3.5683   13.6636  1.5375E+01     -0.2798  2.0193E-03
    4.6028    4.0000   38.4110   36.0288    5.6993    3.2415    3.5674   13.6911  1.4956E+01     -0.2798  1.7708E-03
    4.6071    4.0000   38.4110   35.6685    5.7002    3.2438    3.5664   13.7183  1.4544E+01     -0.2798  1.5504E-03
    4.6113    4.0000   38.4110   35.3118    5.7010    3.2461    3.5655   13.7450  1.4139E+01     -0.2798  1.3554E-03
    4.6155    4.0000   38.4110   34.9587    5.7019    3.2484    3.5645   13.7714  1.3741E+01     -0.2798  1.1832E-03
    4.6196    4.0000   38.4110   34.6091    5.7027    3.2507    3.5636   13.7973  1.3349E+01     -0.2798  1.0314E-03
    4.6236    4.0000   38.4110   34.2630    5.7035    3.2530    3.5626   13.8229  1.2964E+01     -0.2798  8.9777E-04
    4.6276    4.0000   38.4110   33.9204    5.7043    3.2553    3.5617   13.8480  1.2586E+01     -0.2798  7.8043E-04
    4.6315    4.0000   38.4110   33.5812    5.7051    3.2575    3.5608   13.8728  1.2214E+01     -0.2798  6.7751E-04
    4.6354    4.0000   38.4110   33.2454    5.7058    3.2598    3.5599   13.8973  1.1849E+01     -0.2798  5.8739E-04
    4.6392    4.0000   38.4110   32.9129    5.7066    3.2620    3.5589   13.9213  1.1490E+01     -0.2798  5.0860E-04
    4.6429    4.0000   38.4110   32.5838    5.7074    3.2642    3.5580   13.9450  1.1138E+01     -0.2798  4.3980E-04
    4.6466    4.0000   38.4110   32.2580    5.7081    3.2664    3.5571   13.9684  1.0792E+01     -0.2798  3.7982E-04
    4.6503    4.0000   38.4110   31.9354    5.7088    3.2685    3.5562   13.9915  1.0453E+01     -0.2798  3.2760E-04
    4.6539    4.0000   38.4110   31.6160    5.7095    3.2707    3.5553   14.0142  1.0119E+01     -0.2798  2.8219E-04
    4.6574    4.0000   38.4110   31.2999    5.7102    3.2728    3.5544   14.0365  9.7921E+00     -0.2798  2.4276E-04
    4.6609    4.0000   38.4110   30.9869    5.7109    3.2750    3.5535   14.0586  9.4711E+00     -0.2798  2.0857E-04
    4.6643    4.0000   38.4110   30.6770    5.7116    3.2771    3.5526   14.0803  9.1563E+00     -0.2798  1.7895E-04
    4.6677    4.0000   38.4110   30.3702    5.7123    3.2792    3.5518   14.1018  8.8475E+00     -0.2798  1.5332E-04
    4.6710    4.0000   38.4110   30.0665    5.7130    3.2813    3.5509   14.1229  8.5448E+00     -0.2798  1.3118E-04
    4.6743    4.0000   38.4110   29.7659    5.7136    3.2833    3.5500   14.1437  8.2481E+00     -0.2798  1.1208E-04
    4.6776    4.0000   38.4110   29.4682    5.7143    3.2854    3.5491   14.1642  7.9574E+00     -0.2798  9.5613E-05
    4.6808    4.0000   38.4110   29.1735    5.7149    3.2874    3.5483   14.1845  7.6725E+00     -0.2798  8.1439E-05
    4.6839    4.0000   38.4110   28.8818    5.7155    3.2894    3.5474   14.2044  7.3936E+00     -0.2798  6.9255E-05
    4.6870    4.0000   38.4110   28.5930    5.7162    3.2914    3.5466   14.2241  7.1204E+00     -0.2798  5.8795E-05
    4.6901    4.0000   38.4110   28.3070    5.7168    3.2934    3.5457   14.2435  6.8531E+00     -0.2798  4.9828E-05
    4.6931    4.0000   38.4110   28.0240    5.7174    3.2954    3.5449   14.2627  6.5915E+00     -0.2798  4.2150E-05
    4.6961    4.0000   38.4110   27.7437    5.7180    3.2974    3.5441   14.2816  6.3357E+00     -0.2798  3.5587E-05
    4.6991    4.0000   38.4110   27.4663    5.7186    3.2993    3.5433   14.3002  6.0855E+00     -0.2798  2.9984E-05
    4.7020    4.0000   38.4110   27.1916    5.7191    3.3012    3.5424   14.3186  5.8410E+00     -0.2798  2.5210E-05
    4.7048    4.0000   38.4110   26.9197    5.7197    3.3031    3.5416   14.3367  5.6021E+00     -0.2798  2.1147E-05
    4.7077    4.0000   38.4110   26.6505    5.7203    3.3050    3.5408   14.3546  5.3687E+00     -0.2798  1.7697E-05
    4.7104    4.0000   38.4110   26.3840    5.7208    3.3069    3.5400   14.3722  5.1409E+00     -0.2798  1.4772E-05
    4.7132    4.0000   38.4110   26.1202    5.7214    3.3087    3.5393   14.3896  4.9186E+00     -0.2798  1.2297E-05
    4.7159    4.0000   38.4110   25.8590    5.7219    3.3105    3.5385   14.4067  4.7018E+00     -0.2798  1.0208E-05
    4.7186    4.0000   38.4110   25.6004    5.7225    3.3123    3.5377   14.4237  4.4904E+00     -0.2798  8.4478E-06
    4.7212    4.0000   38.4110   25.3444    5.7230    3.3141    3.5369   14.4404  4.2843E+00     -0.2798  6.9684E-06
    4.7238    4.0000   38.4110   25.0909    5.7235    3.3159    3.5362   14.4569  4.0837E+00     -0.2798  5.7282E-06
    4.7264    4.0000   38.4110   24.8400    5.7240    3.3176    3.5355   14.4732  3.8884E+00     -0.2798  4.6913E-06
    4.7289    4.0000   38.4110   24.5916    5.7245    3.3194    3.5347   14.4892  3.6984E+00     -0.2798  3.8269E-06
    4.7315    4.0000   38.4110   24.3457    5.7250    3.3211    3.5340   14.5051  3.5136E+00     -0.2798  3.1086E-06
    4.7339    4.0000   38.4110   24.1023    5.7255    3.3228    3.5333   14.5207  3.3341E+00     -0.2798  2.5136E-06
    4.7364    4.0000   38.4110   23.8612    5.7260    3.3244    3.5326   14.5362  3.1598E+00     -0.2798  2.0226E-06
    4.7388    4.0000   38.4110   23.6226    5.7265    3.3260    3.5319   14.5514  2.9907E+00     -0.2798  1.6189E-06
    4.7412    4.0000   38.4110   23.3864    5.7270    3.3276    3.5312   14.5665  2.8267E+00     -0.2798  1.2885E-06
    4.7435    4.0000   38.4110   23.1525    5.7274    3.3292    3.5305   14.5813  2.6678E+00     -0.2798  1.0193E-06
    4.7458    4.0000   38.4110   22.9210    5.7279    3.3308    3.5299   14.5960  2.5140E+00     -0.2798  8.0099E-07
    4.7481    4.0000   38.4110   22.6918    5.7284    3.3323    3.5292   14.6105  2.3652E+00     -0.2798  6.2496E-07
    4.7504    4.0000   38.4110   22.4649    5.7288    3.3338    3.5286   14.6248  2.2214E+00     -0.2798  4.8383E-07
    4.7526    4.0000   38.4110   22.2402    5.7293    3.3352    3.5280   14.6389  2.0826E+00     -0.2798  3.7142E-07
    4.7548    4.0000   38.4110   22.0178    5.7297    3.3367    3.5274   14.6529  1.9488E+00     -0.2798  2.8251E-07
    4.7570    4.0000   38.4110   21.7976    5.7301    3.3381    3.5268   14.6667  1.8198E+00     -0.2798  2.1273E-07
    4.7591    4.0000   38.4110   21.5797    5.7306    3.3394    3.5262   14.6803  1.6958E+00     -0.2798  1.5842E-07
    4.7613    4.0000   38.4110   21.3639    5.7310    3.3408    3.5256   14.6937  1.5766E+00     -0.2798  1.1656E-07
    4.7634    4.0000   38.4110   21.1502    5.7314    3.3420    3.5251   14.7070  1.4621E+00     -0.2798  8.4614E-08
    4.7654    4.0000   38.4110   20.9387    5.7318    3.3433    3.5246   14.7201  1.3525E+00     -0.2798  6.0521E-08
    4.7675    4.0000   38.4110   20.7293    5.7322    3.3445    3.5241   14.7331  1.2476E+00     -0.2798  4.2581E-08
    4.7695    4.0000   38.4110   20.5221    5.7326    3.3456    3.5236   14.7459  1.1474E+00     -0.2798  2.9412E-08
    4.7715    4.0000   38.4110   20.3168    5.7330    3.3468    3.5231   14.7586  1.0519E+00     -0.2798  1.9902E-08
    4.7735    4.0000   38.4110   20.1137    5.7334    3.3478    3.5227   14.7711  9.6093E-01     -0.2798  1.3157E-08
    4.7755    4.0000   38.4110   19.9125    5.7338    3.3488    3.5223   14.7835  8.7458E-01     -0.2798  8.4711E-09
    4.7774    4.0000   38.4110   19.7134    5.7342    3.3498    3.5219   14.7957  7.9276E-01     -0.2798  5.2922E-09
    4.7793    4.0000   38.4110   19.5163    5.7346    3.3506    3.5216   14.8078  7.1544E-01     -0.2798  3.1933E-09
    4.7812    4.0000   38.4110   19.3211    5.7350    3.3514    3.5213   14.8198  6.4255E-01     -0.2798  1.8506E-09
    4.7831    4.0000   38.4110   19.1279    5.7353    3.3522    3.5210   14.8316  5.7406E-01     -0.2798  1.0227E-09
    4.7849    4.0000   38.4110   18.9366    5.7357    3.3529    3.5208   14.8433  5.0990E-01     -0.2798  5.3419E-10
    4.7867    4.0000   38.4110   18.7472    5.7361    3.3534    3.5206   14.8549  4.5002E-01     -0.2798  2.6060E-10
    4.7886    4.0000   38.4110   18.5598    5.7364    3.3539    3.5204   14.8664  3.9437E-01     -0.2798  1.1687E-10
    4.7904    4.0000   38.4110   18.3742    5.7368    3.3543    3.5203   14.8777  3.4287E-01     -0.2798  4.7116E-11
    4.7921    4.0000   38.4110   18.1904    5.7371    3.3546    3.5203   14.8890  2.9546E-01     -0.2798  1.6525E-11
    4.7939    4.0000   38.4110   18.0085    5.7375    3.3547    3.5203   14.9001  2.5206E-01     -0.2798  4.7842E-12
    4.7956    4.0000   38.4110   17.8284    5.7378    3.3547    3.5204   14.9111  2.1260E-01     -0.2798  1.0405E-12
    4.7973    4.0000   38.4110   17.6502    5.7382    3.3545    3.5205   14.9220  1.7698E-01     -0.2798  1.3723E-13
    4.7991    4.0000   38.4110   17.4737    5.7385    3.3542    3.5208   14.9328  1.4510E-01     -0.2798  3.9876E-15
    4.8007    4.0000   38.4110   17.2989    5.7389    3.3537    3.5211   14.9435  1.1687E-01     -0.2798  2.0712E-16
    4.8024    4.0000   38.4110   17.1259    5.7392    3.3529    3.5216   14.9541  9.2163E-02     -0.2798  2.3810E-16
    4.8041    4.0000   38.4110   16.9547    5.7395    3.3518    3.5222   14.9647  7.0849E-02     -0.2798  2.7719E-16
    4.8057    4.0000   38.4110   16.7851    5.7399    3.3505    3.5230   14.9751  5.2782E-02     -0.2798  3.2753E-16
    4.8074    4.0000   38.4110   16.6173    5.7402    3.3487    3.5240   14.9855  3.7799E-02     -0.2798  3.9384E-16
    4.8090    4.0000   38.4110   16.4511    5.7405    3.3464    3.5252   14.9958  2.5716E-02     -0.2798  4.8361E-16
    4.8106    4.0000   38.4110   16.2866    5.7408    3.3434    3.5268   15.0061  1.6324E-02     -0.2798  6.0927E-16
    4.8123    4.0000   38.4110   16.1237    5.7412    3.3396    3.5288   15.0163  9.3833E-03     -0.2798  7.9255E-16
    4.8139    4.0000   38.4110   15.9625    5.7415    3.3345    3.5314   15.0266  4.6218E-03     -0.2798  1.0742E-15
    4.8155    4.0000   38.4110   15.8029    5.7418    3.3272    3.5351   15.0368  1.7280E-03     -0.2798  1.5379E-15
    4.8171    4.0000   38.4110   15.6448    5.7421    3.3159    3.5408   15.0470  3.4264E-04     -0.2798  2.3742E-15
    4.8187    4.0000   38.4110   15.4884    5.7424    3.2937    3.5520   15.0574  4.2855E-06     -0.2798  4.0573E-15
    4.8204    4.0000   38.4110   15.3335    5.7426    3.2197    3.5891   15.0681  1.0000E-10     -0.2798  9.2046E-15
    4.8224    4.0000   38.4110   15.1802    5.7402    2.2965    4.0501   15.0803  1.0000E-10     -0.2798  1.2602E-12
    4.8227    4.0000   38.4110   15.1673    5.7385    1.9454    4.2252   15.0823  1.0000E-10     -0.2798  5.0813E-12
    4.8229    4.0000   38.4110   15.1574    5.7362    1.6070    4.3938   15.0839  1.0000E-10     -0.2798  1.1662E-11
    4.8231    4.0000   38.4110   15.1489    5.7326    1.2767    4.5581   15.0852  1.0000E-10     -0.2798  1.6128E-11
    4.8233    4.0000   38.4110   15.1409    5.7268    0.9557    4.7171   15.0865  1.0000E-10     -0.2798  1.7864E-11
    4.8236    4.0000   38.4110   15.1328    5.7160    0.6494    4.8676   15.0878  1.0000E-10     -0.2798  1.8518E-11
    4.8238    4.0000   38.4110   15.1245    5.6947    0.3954    4.9892   15.0892  1.0000E-10     -0.2798  1.8798E-11
    4.8241    4.0000   38.4110   15.1138    5.6376    0.1891    5.0781   15.0912  1.0000E-10     -0.2798  1.8968E-11
    4.8249    7.0000   15.0912   15.0912    5.5614    0.1086    5.0993    0.0000  1.5091E+01      4.5881  3.4986E-11
    4.8386    7.0000   14.9403   14.9403    5.5580    0.1075    5.0990    0.0000  1.4940E+01      4.5867  3.5476E-11
    4.8524    7.0000   14.7909   14.7909    5.5546    0.1062    5.0988    0.0000  1.4791E+01      4.5852  3.5986E-11
    4.8661    7.0000   14.6430   14.6430    5.5511    0.1049    5.0986    0.0000  1.4643E+01      4.5836  3.6520E-11
    4.8799    7.0000   14.4965   14.4965    5.5475    0.1034    5.0984    0.0000  1.4497E+01      4.5819  3.7081E-11
    4.8938    7.0000   14.3516   14.3516    5.5438    0.1018    5.0983    0.0000  1.4352E+01      4.5801  3.7677E-11
    4.9077    7.0000   14.2080   14.2080    5.5401    0.1000    5.0983    0.0000  1.4208E+01      4.5782  3.8312E-11
    4.9216    7.0000   14.0660   14.0660    5.5363    0.0980    5.0983    0.0000  1.4066E+01      4.5763  3.8995E-11
    4.9355    7.0000   13.9253   13.9253    5.5324    0.0958    5.0985    0.0000  1.3925E+01      4.5742  3.9735E-11
    4.9495    7.0000   13.7861   13.7861    5.5284    0.0933    5.0987    0.0000  1.3786E+01      4.5720  4.0544E-11
    4.9636    7.0000   13.6482   13.6482    5.5244    0.0904    5.0991    0.0000  1.3648E+01      4.5697  4.1434E-11
    4.9777    7.0000   13.5117   13.5117    5.5203    0.0872    5.0997    0.0000  1.3512E+01      4.5673  4.2421E-11
